report_id,entity_type,entity_value,analytical_relevance
TRN00004,ipv4,198.51.100.5,Possible C2 or scanning source/destination address
TRN00004,domain,node-4-sync.example,Possible C2/phishing infrastructure domain
TRN00005,ipv4,198.51.100.6,Possible C2 or scanning source/destination address
TRN00005,domain,node-5-sync.example,Possible C2/phishing infrastructure domain
TRN00007,ipv4,198.51.100.8,Possible C2 or scanning source/destination address
TRN00007,domain,node-7-sync.example,Possible C2/phishing infrastructure domain
TRN00009,ipv4,198.51.100.10,Possible C2 or scanning source/destination address
TRN00009,domain,node-9-sync.example,Possible C2/phishing infrastructure domain
TRN00009,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00011,ipv4,198.51.100.12,Possible C2 or scanning source/destination address
TRN00011,domain,node-11-sync.example,Possible C2/phishing infrastructure domain
TRN00011,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00013,ipv4,198.51.100.14,Possible C2 or scanning source/destination address
TRN00013,domain,node-13-sync.example,Possible C2/phishing infrastructure domain
TRN00015,ipv4,198.51.100.16,Possible C2 or scanning source/destination address
TRN00015,domain,node-15-sync.example,Possible C2/phishing infrastructure domain
TRN00019,ipv4,198.51.100.20,Possible C2 or scanning source/destination address
TRN00019,domain,node-19-sync.example,Possible C2/phishing infrastructure domain
TRN00023,ipv4,198.51.100.24,Possible C2 or scanning source/destination address
TRN00023,domain,node-23-sync.example,Possible C2/phishing infrastructure domain
TRN00023,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00031,ipv4,198.51.100.32,Possible C2 or scanning source/destination address
TRN00031,domain,node-31-sync.example,Possible C2/phishing infrastructure domain
TRN00032,ipv4,198.51.100.33,Possible C2 or scanning source/destination address
TRN00032,domain,node-32-sync.example,Possible C2/phishing infrastructure domain
TRN00032,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00037,ipv4,198.51.100.38,Possible C2 or scanning source/destination address
TRN00037,domain,node-37-sync.example,Possible C2/phishing infrastructure domain
TRN00042,ipv4,198.51.100.43,Possible C2 or scanning source/destination address
TRN00042,domain,node-42-sync.example,Possible C2/phishing infrastructure domain
TRN00042,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00048,ipv4,198.51.100.49,Possible C2 or scanning source/destination address
TRN00048,domain,node-48-sync.example,Possible C2/phishing infrastructure domain
TRN00049,ipv4,198.51.100.50,Possible C2 or scanning source/destination address
TRN00049,domain,node-49-sync.example,Possible C2/phishing infrastructure domain
TRN00050,ipv4,198.51.100.51,Possible C2 or scanning source/destination address
TRN00050,domain,node-50-sync.example,Possible C2/phishing infrastructure domain
TRN00052,ipv4,198.51.100.53,Possible C2 or scanning source/destination address
TRN00052,domain,node-52-sync.example,Possible C2/phishing infrastructure domain
TRN00052,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00064,ipv4,198.51.100.65,Possible C2 or scanning source/destination address
TRN00064,domain,node-64-sync.example,Possible C2/phishing infrastructure domain
TRN00067,ipv4,198.51.100.68,Possible C2 or scanning source/destination address
TRN00067,domain,node-67-sync.example,Possible C2/phishing infrastructure domain
TRN00069,ipv4,198.51.100.70,Possible C2 or scanning source/destination address
TRN00069,domain,node-69-sync.example,Possible C2/phishing infrastructure domain
TRN00069,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00071,ipv4,198.51.100.72,Possible C2 or scanning source/destination address
TRN00071,domain,node-71-sync.example,Possible C2/phishing infrastructure domain
TRN00072,ipv4,198.51.100.73,Possible C2 or scanning source/destination address
TRN00072,domain,node-72-sync.example,Possible C2/phishing infrastructure domain
TRN00074,ipv4,198.51.100.75,Possible C2 or scanning source/destination address
TRN00074,domain,node-74-sync.example,Possible C2/phishing infrastructure domain
TRN00074,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00078,ipv4,198.51.100.79,Possible C2 or scanning source/destination address
TRN00078,domain,node-78-sync.example,Possible C2/phishing infrastructure domain
TRN00080,ipv4,198.51.100.81,Possible C2 or scanning source/destination address
TRN00080,domain,node-80-sync.example,Possible C2/phishing infrastructure domain
